_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%fsa_err_sum
_D:	3	192	0.778955	66	0	31.894	3.47	3.39	2
_D:	3	193	0.647115	55	0	29.9073	3.18	3.09	3
_D:	3	194	0.737932	63	0	31.0892	3.51	3.46	2
_D:	3	195	0.752641	67	0	32.3949	3.44	3.37	2
_D:	3	196	0.821668	78	0	33.3393	3.99	3.91	4
_D:	3	197	0.637623	60	0	32.7798	3.75	3.7	1
_D:	3	198	0.797124	66	0	30.3245	3.34	3.3	2
_D:	3	199	0.799305	67	0	28.4305	3	2.95	2
_D:	3	200	0.87621	78	0	30.8481	3.43	3.37	4
_D:	3	201	0.675988	60	0	31.0886	3.27	3.19	2
_D:	3	202	0.879112	86	0	31.017	3.86	3.81	0
_D:	3	203	0.779434	75	0	30.4205	3.62	3.58	4
_D:	3	204	0.835166	91	0	32.0553	4.63	4.54	2
_D:	3	205	0.817364	90	0	32.3417	4.39	4.32	4
_D:	3	206	0.785589	86	0	30.3015	4.31	4.25	5
_D:	3	207	0.809053	89	0	29.0754	4.01	3.95	1
_D:	3	208	0.758679	71	0	32.9408	3.86	3.75	5
_D:	3	209	0.775903	72	0	31.284	3.56	3.49	3
_D:	3	210	0.826902	93	0	35.5859	4.76	4.69	4
_D:	3	211	0.822544	89	0	33.7929	4.38	4.3	5
_D:	3	212	0.718151	69	0	29.4971	3.73	3.69	1
_D:	3	213	0.758693	74	0	30.6879	3.6	3.54	2
_D:	3	214	0.706409	65	0	29.8373	3.56	3.53	3
_D:	3	215	0.684054	63	0	29.5723	3.32	3.26	3
_D:	3	216	0.719092	68	0	29.0058	3.6	3.52	4
_D:	3	217	0.840267	80	0	30.9766	3.62	3.55	3
_D:	3	218	0.820672	77	0	29.8274	3.63	3.55	3
_D:	3	219	0.800793	76	0	31.2262	3.59	3.49	2
_D:	3	220	0.80794	78	0	32.1637	3.89	3.84	2
_D:	3	221	0.700072	66	0	30.5848	3.57	3.48	0
_D:	3	222	0.748352	73	0	32.7303	4.11	4.02	3
_D:	3	223	0.825712	81	0	32.0449	3.9	3.83	4
_D:	3	224	0.669249	70	0	32.375	4.27	4.23	3
_D:	3	225	0.753639	78	0	31.5924	3.97	3.88	2
_D:	3	226	0.890572	100	0	32.803	4.63	4.54	3
_D:	3	227	0.828077	94	0	32.4532	4.38	4.25	5
_D:	3	228	0.863129	90	0	30.6364	4.1	4.04	2
_D:	3	229	0.807161	85	0	31.9679	3.97	3.92	2
_D:	3	230	0.789664	78	0	32.6461	4.08	4.02	4
_D:	3	231	0.844889	82	0	31.8933	3.8	3.75	2
_D:	3	232	0.718863	72	0	30.9551	3.88	3.77	3
_D:	3	233	0.821528	81	0	30.309	3.69	3.63	3
_D:	3	234	0.78151	71	0	31.2515	3.79	3.73	2
_D:	3	235	0.78855	72	0	30.018	3.45	3.39	3
_D:	3	236	0.762012	70	0	31.7687	3.55	3.48	3
_D:	3	237	0.740171	66	0	27.95	3.12	3.06	1
_D:	3	238	0.818277	82	0	29.7022	3.74	3.69	4
_D:	3	239	0.877828	88	0	31.6517	3.73	3.65	3
_D:	3	240	0.730078	83	0	31.3485	4.26	4.17	1
_D:	3	241	0.739834	81	0	30.5707	4.1	3.97	4
_D:	3	242	0.763462	84	0	30.0854	4.31	4.2	2
_D:	3	243	0.869769	95	0	31.4121	4.2	4.14	3
_D:	3	244	0.843753	80	0	31.8824	3.77	3.72	3
_D:	3	245	0.787281	75	0	30.9765	3.52	3.47	3
_D:	3	246	0.622738	53	0	32.4765	3.27	3.24	2
_D:	3	247	0.736676	63	0	30.3087	2.98	2.92	1
_D:	3	248	0.690868	59	0	30.5806	3.34	3.27	2
_D:	3	249	0.737611	64	0	29.9935	3.15	3.1	2
_D:	3	250	0.827728	86	0	29.7312	3.97	3.89	2
_D:	3	251	0.765333	78	0	31.0323	3.92	3.83	3
_D:	3	252	0.814747	77	0	30.659	3.85	3.81	3
_D:	3	253	0.866822	82	0	30.578	3.66	3.56	3
_D:	3	254	0.789559	81	0	29.235	3.92	3.86	4
_D:	3	255	0.735309	75	0	30.0164	3.78	3.71	4
_D:	3	256	0.837686	90	0	32.164	4.12	4.07	2
_D:	3	257	0.786892	82	0	29.7884	3.82	3.75	2
_D:	3	258	0.876619	97	0	31.7761	4.47	4.41	2
_D:	3	259	0.814026	91	0	30.3582	4.11	4.01	3
_D:	3	260	0.682493	54	0	28.2701	2.83	2.8	1
_D:	3	261	0.62824	51	0	30.292	2.76	2.71	2
_D:	3	262	0.830958	80	0	31.3029	3.84	3.75	4
_D:	3	263	0.8335	83	0	31.5886	3.79	3.73	3
_D:	3	264	0.77321	81	0	31.3617	4.19	4.14	1
_D:	3	265	0.707278	75	0	30.4894	3.84	3.76	0
_D:	3	266	0.849401	88	0	32.2139	4.23	4.16	5
_D:	3	267	0.731737	79	0	31.3316	3.92	3.86	4
_D:	3	268	0.680938	64	0	30.2235	3.7	3.63	0
_D:	3	269	0.631949	60	0	30.9941	3.54	3.47	1
_D:	3	270	0.729652	71	0	29.9261	3.72	3.67	3
_D:	3	271	0.809774	80	0	30.8636	3.65	3.59	1
_D:	3	272	0.723298	71	0	31.5145	3.72	3.63	2
_D:	3	273	0.768611	75	0	29.6012	3.48	3.43	3
_D:	3	274	0.787923	74	0	31.7375	3.5	3.44	4
_D:	3	275	0.792227	71	0	30.3062	3.22	3.17	2
_D:	3	276	0.858716	79	0	32.4286	3.61	3.54	2
_D:	3	277	0.80788	73	0	34.1553	3.58	3.53	2
_D:	3	278	0.764136	65	0	31.449	3.2	3.13	1
_D:	3	279	0.730858	59	0	30.7483	3.02	2.95	0
_D:	3	280	0.810041	71	0	30.5948	3.33	3.25	4
_D:	3	281	0.826159	70	0	29.5621	3.1	3.04	2
_D:	3	282	0.715667	74	0	32.2552	4.33	4.27	2
_D:	3	283	0.885018	93	0	30.8802	3.95	3.86	4
_D:	3	284	0.704246	73	0	33.1955	4.05	3.97	2
_D:	3	285	0.822238	82	0	30.2514	3.69	3.64	4
_D:	3	286	0.811589	65	0	29.8621	3.07	3.03	3
_D:	3	287	0.838668	68	0	31.5448	3.05	2.99	4
_D:	3	288	0.783818	79	0	31.4011	3.91	3.87	3
_D:	3	289	0.740922	73	0	29.6441	3.56	3.52	0
_D:	3	290	0.764913	69	0	29.6867	3.47	3.43	1
_D:	3	291	0.733296	67	0	29.6325	3.32	3.26	3
_D:	3	292	0.898011	101	0	29.8291	4.2	4.07	4
_D:	3	293	0.796601	90	0	30.5176	4	3.94	5
_D:	3	294	0.862933	90	0	29.5904	4.01	3.91	3
_D:	3	295	0.747043	76	0	30.7074	3.83	3.76	4
_D:	3	296	0.762457	63	0	28.2119	3.11	3.05	1
_D:	3	297	0.771504	64	0	30.1192	3.03	2.98	2
_D:	3	298	0.687723	63	0	29.3161	3.27	3.21	4
_D:	3	299	0.748874	65	0	28.9097	3.01	2.96	4
_D:	3	300	0.75012	75	0	29.4309	3.84	3.77	2
_D:	3	301	0.749362	74	0	28.7348	3.58	3.52	2
_D:	3	302	0.739389	73	0	29.8258	3.8	3.76	3
_D:	3	303	0.754852	75	0	30	3.6	3.51	3
_D:	3	304	0.840913	78	0	29.7545	3.53	3.49	1
_D:	3	305	0.788194	75	0	31.0659	3.39	3.32	4
