_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	177	0.184666	76	0	34.1142	118.53	117.79
_D:	0	178	0.15016	66	0	33.897	116.59	115.84
_D:	0	179	0.189269	78	0	33.9903	118.77	118.13
_D:	0	180	0.222036	76	0	34.7381	114.7	114.12
_D:	0	181	0.157552	67	0	34.2829	115.42	114.65
_D:	0	182	0.188402	66	0	34.3592	117.54	116.9
_D:	0	183	0.121936	57	0	33.7504	115	114.39
_D:	0	184	0.142994	57	0	34.0571	121.18	120.43
_D:	0	185	0.169363	61	0	34.5007	115.94	115.2
_D:	0	186	0.117445	66	0	34.0898	119.23	118.51
_D:	0	187	0.188056	85	0	34.0598	124.04	123.34
_D:	0	188	0.157647	68	0	33.88	119.19	118.54
_D:	0	189	0.254413	75	0	34.7314	116.19	115.52
_D:	0	190	0.138347	71	0	34.2425	121.7	121.02
_D:	0	191	0.110388	74	0	34.5099	125.53	124.7
_D:	0	192	0.203312	70	0	33.2171	114.02	113.43
_D:	0	193	0.185632	69	0	34.7188	116.61	115.94
_D:	0	194	0.168599	60	0	34.1587	120.34	119.6
_D:	0	195	0.15608	55	0	33.675	111.32	110.66
_D:	0	196	0.0993529	62	0	34.1061	127.06	126.32
_D:	0	197	0.151983	81	0	34.8299	129.79	129.09
_D:	0	198	0.230574	90	0	34.1633	128.88	128.13
_D:	0	199	0.196388	75	0	34.6471	110.22	109.64
_D:	0	200	0.142356	66	0	34.2829	115.38	114.62
_D:	0	201	0.174533	59	0	34.3232	119.45	118.82
_D:	0	202	0.149501	75	0	34.7184	120.56	119.87
_D:	0	203	0.202478	53	0	34.576	113.14	112.48
_D:	0	204	0.174664	62	0	34.3142	123.78	123.04
_D:	0	205	0.162069	63	0	34.4776	121.75	121
_D:	0	206	0.139501	73	0	34.7832	126.03	125.28
_D:	0	207	0.188682	67	0	34.1981	122.03	121.3
_D:	0	208	0.122519	75	0	34.9987	125.59	124.88
_D:	0	209	0.141147	68	0	34.549	126.44	125.65
_D:	0	210	0.196199	69	0	35.3048	120.76	119.98
_D:	0	211	0.170835	56	0	34.0807	119.83	119.15
_D:	0	212	0.0967316	64	0	34.4278	127.85	127.11
_D:	0	213	0.140618	66	0	34.7268	122.76	122.08
_D:	0	214	0.115901	45	0	34.7683	120.03	119.33
_D:	0	215	0.247314	79	0	35.3135	114.8	114.22
_D:	0	216	0.129828	62	0	34.8188	128.76	128.07
_D:	0	217	0.177234	68	0	34.3864	118.87	118.24
_D:	0	218	0.141109	58	0	34.673	112.55	111.88
_D:	0	219	0.136475	74	0	35.1652	129.78	128.98
_D:	0	220	0.171641	56	0	34.975	112.44	111.81
_D:	0	221	0.19849	65	0	34.4638	118.2	117.52
_D:	0	222	0.253225	69	0	34.8755	118.25	117.64
_D:	0	223	0.162089	81	0	34.8003	122.49	121.83
_D:	0	224	0.199675	67	0	34.6703	122.19	121.52
_D:	0	225	0.185881	69	0	34.4099	116.82	116.13
