_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	176	0.259328	165	47	0.646833	38.0778	6.57	6.5
_D:	0	177	0.2618	178	42	0.577555	38.7807	6.82	6.76
_D:	0	178	0.292861	188	67	0.878621	38.3777	6.71	6.61
_D:	0	179	0.238057	153	38	0.521983	38.3134	6.5	6.4
_D:	0	180	0.232847	145	31	0.414764	38.0492	6.54	6.47
_D:	0	181	0.269867	178	41	0.564609	38.6122	6.64	6.55
_D:	0	182	0.253924	163	30	0.411531	38.4638	6.57	6.51
_D:	0	183	0.24861	165	56	0.754573	38.2848	6.78	6.72
_D:	0	184	0.29741	190	58	0.790235	38.6728	6.54	6.44
_D:	0	185	0.259332	165	34	0.462474	38.0125	6.82	6.69
_D:	0	186	0.263889	174	28	0.38379	39.152	6.53	6.47
_D:	0	187	0.226936	151	33	0.453219	38.5012	6.49	6.4
_D:	0	188	0.254662	167	33	0.450637	37.8362	6.69	6.63
_D:	0	189	0.238201	151	43	0.586924	38.1567	6.81	6.7
_D:	0	190	0.231963	149	38	0.520353	38.1566	6.58	6.49
_D:	0	191	0.232942	150	35	0.479335	38.3402	6.55	6.45
_D:	0	192	0.241931	162	38	0.516164	38.1182	6.58	6.5
_D:	0	193	0.242394	155	32	0.437175	38.0033	6.64	6.58
_D:	0	194	0.272886	184	41	0.556653	38.7169	6.57	6.51
_D:	0	195	0.251704	165	27	0.370066	38.5125	6.66	6.58
_D:	0	196	0.250669	163	37	0.498148	37.5949	6.62	6.56
_D:	0	197	0.263997	173	42	0.577739	38.3333	6.71	6.63
_D:	0	198	0.25942	175	28	0.383695	38.5844	6.55	6.45
_D:	0	199	0.267688	175	45	0.612406	38.624	6.76	6.68
_D:	0	200	0.253321	162	30	0.379377	38.7637	6.65	6.58
_D:	0	201	0.21742	143	25	0.318979	39.36	6.59	6.48
_D:	0	202	0.167218	112	20	0.237296	38.2516	6.56	6.5
_D:	0	203	0.185773	130	23	0.278806	38.8674	6.54	6.48
_D:	0	204	0.171307	118	20	0.25669	38.7202	6.65	6.59
_D:	0	205	0.169775	113	14	0.166182	38.9582	6.61	6.51
_D:	0	206	0.167075	105	12	0.153451	38.9025	6.64	6.56
_D:	0	207	0.171132	116	15	0.191014	39.2271	6.47	6.41
_D:	0	208	0.171811	118	22	0.300514	38.6056	6.6	6.52
_D:	0	209	0.209082	140	21	0.283686	39.0601	6.58	6.46
_D:	0	210	0.167564	111	20	0.261512	38.8908	6.54	6.46
_D:	0	211	0.177644	117	21	0.28103	38.483	6.61	6.56
_D:	0	212	0.130698	89	16	0.216468	38.7898	6.59	6.52
_D:	0	213	0.126005	84	14	0.189146	38.2067	6.56	6.44
_D:	0	214	0.174056	120	21	0.282965	38.7069	6.53	6.49
_D:	0	215	0.154596	106	17	0.224426	38.752	6.59	6.5
_D:	0	216	0.178946	116	11	0.13673	39.0669	6.55	6.48
_D:	0	217	0.162986	108	21	0.286182	38.6435	6.56	6.48
_D:	0	218	0.121993	78	18	0.246418	38.4843	6.59	6.54
_D:	0	219	0.145182	94	15	0.202837	38.4679	6.52	6.44
_D:	0	220	0.139536	92	21	0.284511	38.7861	6.56	6.49
_D:	0	221	0.163173	111	11	0.138949	38.6197	6.53	6.44
_D:	0	222	0.179888	119	9	0.123881	38.8386	6.53	6.44
_D:	0	223	0.165643	108	15	0.200731	38.9114	6.54	6.42
_D:	0	224	0.129073	88	23	0.3154	38.5743	6.48	6.39
_D:	0	225	0.14666	95	22	0.296006	38.5977	6.51	6.44
_D:	0	226	0.161452	102	23	0.29474	38.6228	6.51	6.45
_D:	0	227	0.19148	124	22	0.299404	38.7445	6.53	6.45
_D:	0	228	0.180343	119	7	0.0952421	38.879	6.51	6.41
_D:	0	229	0.152986	103	12	0.161407	38.1279	6.62	6.53
_D:	0	230	0.157391	104	11	0.150345	38.728	6.53	6.46
_D:	0	231	0.133023	87	15	0.20305	38.4525	6.59	6.49
_D:	0	232	0.154581	102	24	0.327703	38.328	6.55	6.49
_D:	0	233	0.136211	87	14	0.190701	38.2192	6.57	6.51
_D:	0	234	0.166437	109	21	0.282584	38.8099	6.67	6.61
_D:	0	235	0.134915	90	11	0.147692	38.5946	6.58	6.5
_D:	0	236	0.158428	103	16	0.213238	38.9918	6.64	6.52
_D:	0	237	0.145188	96	20	0.271387	38.569	6.56	6.49
_D:	0	238	0.158788	105	12	0.161449	38.4798	6.52	6.46
_D:	0	239	0.154546	104	16	0.216776	38.3082	6.54	6.46
_D:	0	240	0.147627	99	12	0.161453	38.2615	6.54	6.48
_D:	0	241	0.118721	77	19	0.259459	38.3066	6.57	6.49
_D:	0	242	0.110142	71	22	0.29913	38.2728	6.56	6.47
_D:	0	243	0.130188	84	13	0.174863	37.8448	6.54	6.45
_D:	0	244	0.143175	91	14	0.19173	38.4281	6.58	6.49
_D:	0	245	0.142041	91	12	0.161663	38.4623	6.52	6.44
_D:	0	246	0.142741	96	17	0.227439	38.5257	6.58	6.5
_D:	0	247	0.158066	97	14	0.191828	38.6601	6.54	6.47
_D:	0	248	0.154183	100	17	0.230406	38.6164	6.57	6.47
_D:	0	249	0.164818	112	16	0.219353	38.8185	6.61	6.54
_D:	0	250	0.184318	120	23	0.310944	38.8352	6.66	6.55
_D:	0	251	0.151233	99	10	0.134723	38.6713	6.57	6.52
_D:	0	252	0.159481	106	15	0.203407	38.6791	6.6	6.53
_D:	0	253	0.124563	80	14	0.185269	38.692	6.6	6.48
_D:	0	254	0.160492	103	9	0.122846	38.8861	6.53	6.46
_D:	0	255	0.142448	93	20	0.271976	38.6018	6.59	6.54
_D:	0	256	0.171643	116	15	0.20329	38.9992	6.61	6.51
_D:	0	257	0.143571	95	21	0.284894	38.7372	6.68	6.62
_D:	0	258	0.157132	105	21	0.287701	38.7933	6.62	6.55
_D:	0	259	0.160948	103	17	0.229382	38.995	6.61	6.52
_D:	0	260	0.16643	113	19	0.255947	38.8728	6.62	6.53
_D:	0	261	0.161107	104	15	0.204266	39.1959	6.57	6.5
_D:	0	262	0.176753	119	19	0.257845	39.1598	6.59	6.52
_D:	0	263	0.176609	118	17	0.232075	39.3524	6.62	6.56
_D:	0	264	0.15071	101	13	0.173415	38.7228	6.64	6.57
_D:	0	265	0.146609	95	14	0.191209	38.6577	6.57	6.49
_D:	0	266	0.173059	115	22	0.300004	39.0128	6.58	6.53
_D:	0	267	0.166545	110	12	0.160218	39.1257	6.67	6.55
_D:	0	268	0.158074	104	9	0.123078	38.8955	6.53	6.46
_D:	0	269	0.168905	114	13	0.175007	39.216	6.67	6.58
_D:	0	270	0.139307	93	12	0.159377	38.6325	6.7	6.63
