_H:	|batch	|epoch	%avg_sse	%cnt_err	%sum_name_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%Ortho__Fm_Ortho_net_rel	%Ortho__Fm_Hidden_net_rel	%Hidden_Fm_Phon_net_rel	%Hidden_Fm_Ortho__net_rel	%Ortho__net_max	%Hidden_net_max	%Phon_net_max	%max_Hidden_act_avg	%max_Ortho__act_avg
_D:	0	66	2.76264	456	428	0	46.9635	178.75	177.76	0.524753	0.475247	0.520414	0.479586	0.459107	0.409205	0.467226	0.526034	0.219
_D:	0	67	2.76203	493	463	0	46.6977	188.6	187.53	0.525422	0.474578	0.520663	0.479337	0.461053	0.407697	0.470025	0.538687	0.217204
_D:	0	68	2.81809	458	422	0	47.154	176.4	175.22	0.522473	0.477527	0.52121	0.47879	0.45938	0.405654	0.470571	0.54336	0.196649
_D:	0	69	2.76595	449	418	0	46.7939	170.97	169.85	0.522654	0.477346	0.520161	0.479839	0.456976	0.403464	0.468131	0.529498	0.214465
_D:	0	70	2.6839	460	423	0	47.5783	181.34	180.29	0.524006	0.475993	0.521151	0.478849	0.459339	0.399155	0.466851	0.543412	0.217936
_D:	0	71	2.46761	467	431	0	46.5528	177.84	176.91	0.525135	0.474865	0.522871	0.477129	0.456884	0.407798	0.466773	0.560506	0.195212
_D:	0	72	2.54689	454	425	0	46.7965	179.99	179.04	0.520767	0.479233	0.52373	0.47627	0.457929	0.406634	0.471835	0.565555	0.201724
_D:	0	73	2.67556	460	421	0	46.9631	180.66	179.61	0.518317	0.481682	0.519019	0.480981	0.450074	0.409044	0.469724	0.538643	0.207407
_D:	0	74	2.58818	464	426	0	46.7093	183.92	182.93	0.520859	0.479141	0.520551	0.479449	0.452993	0.405716	0.467923	0.527006	0.195435
_D:	0	75	2.61747	429	399	0	47.4243	177.82	176.75	0.523015	0.476985	0.526563	0.473437	0.457866	0.401413	0.47277	0.586957	0.222717
_D:	0	76	2.50992	442	411	0	47.095	183.73	182.45	0.520581	0.479419	0.520809	0.479191	0.453301	0.400535	0.473873	0.573692	0.229191
_D:	0	77	2.16815	375	340	0	46.611	162.48	161.54	0.520245	0.479755	0.521165	0.478835	0.454038	0.400505	0.476413	0.618897	0.210239
_D:	0	78	2.15564	396	356	0	47.47	176.3	175.23	0.519682	0.480318	0.521837	0.478163	0.455686	0.402172	0.482055	0.613913	0.223899
_D:	0	79	2.31506	413	371	0	48.2996	169	167.91	0.521332	0.478668	0.526176	0.473824	0.457883	0.400509	0.488872	0.600729	0.227838
_D:	0	80	2.06555	409	366	0	48.7788	177.39	176.38	0.520191	0.479809	0.523257	0.476743	0.455845	0.400196	0.492103	0.656693	0.221762
_D:	0	81	2.43723	412	346	0	50.7972	167.11	166.05	0.518128	0.481872	0.520379	0.479621	0.453916	0.403344	0.496565	0.741286	0.219132
_D:	0	82	2.17332	436	351	0	52.8051	177.49	176.12	0.515327	0.484673	0.525023	0.474977	0.457017	0.401969	0.510069	0.735689	0.207826
_D:	0	83	2.07329	448	352	0	55.1497	173.22	172.08	0.513858	0.486142	0.524674	0.475326	0.459168	0.402313	0.52216	0.766061	0.219406
_D:	0	84	2.28025	465	363	0	56.7979	178.1	176.84	0.512325	0.487675	0.526225	0.473775	0.460917	0.404052	0.531948	0.703096	0.221757
_D:	0	85	2.25999	501	387	0	55.8987	187.86	186.7	0.51076	0.48924	0.524703	0.475297	0.458718	0.403228	0.536114	0.729758	0.209058
_D:	0	86	2.1728	457	355	0	56.7346	179.36	178.13	0.508999	0.491001	0.524458	0.475542	0.459268	0.406531	0.543168	0.734198	0.225246
_D:	0	87	2.02494	445	342	0	55.9335	178.37	177.13	0.507932	0.492068	0.528782	0.471218	0.460167	0.407768	0.552139	0.813837	0.219083
_D:	0	88	2.11967	466	376	0	55.5169	180.36	179.19	0.508159	0.491841	0.531047	0.468953	0.464108	0.406346	0.563987	0.786908	0.206123
_D:	0	89	1.9615	410	334	0	54.2829	170.72	169.68	0.507126	0.492874	0.527191	0.472809	0.461562	0.409385	0.56794	0.807532	0.215903
_D:	0	90	2.05652	423	349	0	53.0254	181.01	179.81	0.505396	0.494604	0.523501	0.476499	0.460697	0.410199	0.568883	0.801378	0.219641
_D:	0	91	2.05843	447	388	0	51.0936	171.71	170.55	0.505189	0.494811	0.527376	0.472624	0.459287	0.412486	0.570258	0.817795	0.211391
_D:	0	92	1.68564	404	342	0	47.411	174.4	173.29	0.503644	0.496356	0.526737	0.473263	0.46123	0.414131	0.577038	0.857856	0.21988
_D:	0	93	1.43206	356	289	0	45.0938	162.56	161.36	0.503008	0.496992	0.529355	0.470645	0.46243	0.416182	0.588245	0.857173	0.219494
_D:	0	94	1.85406	409	356	0	45.0995	172.74	171.78	0.502682	0.497318	0.528868	0.471132	0.457758	0.418859	0.59216	0.870685	0.230111
_D:	0	95	1.75992	365	310	0	44.8349	167.64	166.49	0.498165	0.501835	0.52472	0.47528	0.455902	0.421568	0.595004	0.882436	0.282435
_D:	0	96	1.74116	402	330	0	44.7874	167.49	166.45	0.498999	0.501001	0.533222	0.466778	0.462655	0.423195	0.601219	0.88561	0.291713
_D:	0	97	1.64832	416	348	0	44.8785	175.76	174.68	0.496701	0.503299	0.53265	0.46735	0.459843	0.426973	0.586455	0.889735	0.245945
